agent_A,agent_B,winner,reward_A,reward_B
Always0,Always0,Always0,0.0,0.0
Always0,Always0,Always0,0.0,0.0
Always0,Always0,Always0,0.0,0.0
Always0,Always3,Always3,0.0,3.0
Always0,Always3,Always3,0.0,3.0
Always0,Always3,Always3,0.0,3.0
Always0,Always3,Always3,0.0,3.0
Always0,UniformRandom,UniformRandom,0.0,2.78
Always0,UniformRandom,UniformRandom,0.0,2.47
Always0,UniformRandom,UniformRandom,0.0,2.91
Always0,UniformRandom,UniformRandom,0.0,2.52
Always0,Focal5,Focal5,0.0,2.5
Always0,Focal5,Focal5,0.0,2.5
Always0,Focal5,Focal5,0.0,2.5
Always0,Focal5,Focal5,0.0,2.5
Always0,TitForTat,TitForTat,0.0,2.0
Always0,TitForTat,TitForTat,0.0,2.0
Always0,TitForTat,TitForTat,0.0,2.0
Always0,TitForTat,TitForTat,0.0,2.0
Always0,CastigadorInfernal,CastigadorInfernal,0.0,2.5
Always0,CastigadorInfernal,CastigadorInfernal,0.0,2.5
Always0,CastigadorInfernal,CastigadorInfernal,0.0,2.5
Always0,CastigadorInfernal,CastigadorInfernal,0.0,2.5
Always0,Deterministic_simpletron_optimist_notTfT,Deterministic_simpletron_optimist_notTfT,0.0,2.0
Always0,Deterministic_simpletron_optimist_notTfT,Deterministic_simpletron_optimist_notTfT,0.0,2.0
Always0,Deterministic_simpletron_optimist_notTfT,Deterministic_simpletron_optimist_notTfT,0.0,2.0
Always0,Deterministic_simpletron_optimist_notTfT,Deterministic_simpletron_optimist_notTfT,0.0,2.0
Always0,Deterministic_simpletron_pesimist_notTfT,Deterministic_simpletron_pesimist_notTfT,0.0,3.0
Always0,Deterministic_simpletron_pesimist_notTfT,Deterministic_simpletron_pesimist_notTfT,0.0,3.0
Always0,Deterministic_simpletron_pesimist_notTfT,Deterministic_simpletron_pesimist_notTfT,0.0,3.0
Always0,Deterministic_simpletron_pesimist_notTfT,Deterministic_simpletron_pesimist_notTfT,0.0,3.0
Always0,Deterministic_simpletron_optimist_TfT,Deterministic_simpletron_optimist_TfT,0.0,2.0
Always0,Deterministic_simpletron_optimist_TfT,Deterministic_simpletron_optimist_TfT,0.0,2.0
Always0,Deterministic_simpletron_optimist_TfT,Deterministic_simpletron_optimist_TfT,0.0,2.0
Always0,Deterministic_simpletron_optimist_TfT,Deterministic_simpletron_optimist_TfT,0.0,2.0
Always0,Permisive_TFT_patience_3,Permisive_TFT_patience_3,0.0,2.01
Always0,Permisive_TFT_patience_3,Permisive_TFT_patience_3,0.0,2.01
Always0,Permisive_TFT_patience_3,Permisive_TFT_patience_3,0.0,2.01
Always0,Permisive_TFT_patience_3,Permisive_TFT_patience_3,0.0,2.01
Always0,Permisive_TFT_patience_5,Permisive_TFT_patience_5,0.0,2.01
Always0,Permisive_TFT_patience_5,Permisive_TFT_patience_5,0.0,2.01
Always0,Permisive_TFT_patience_5,Permisive_TFT_patience_5,0.0,2.01
Always0,Permisive_TFT_patience_5,Permisive_TFT_patience_5,0.0,2.01
Always0,Permisive_TFT_patience_10,Permisive_TFT_patience_10,0.0,2.01
Always0,Permisive_TFT_patience_10,Permisive_TFT_patience_10,0.0,2.01
Always0,Permisive_TFT_patience_10,Permisive_TFT_patience_10,0.0,2.01
Always0,Permisive_TFT_patience_10,Permisive_TFT_patience_10,0.0,2.01
Always0,GrimTrigger,GrimTrigger,0.0,2.0
Always0,GrimTrigger,GrimTrigger,0.0,2.0
Always0,GrimTrigger,GrimTrigger,0.0,2.0
Always0,GrimTrigger,GrimTrigger,0.0,2.0
Always0,GenerousTitForTat_generous_p_0.1,GenerousTitForTat_generous_p_0.1,0.0,2.0
Always0,GenerousTitForTat_generous_p_0.1,GenerousTitForTat_generous_p_0.1,0.0,2.0
Always0,GenerousTitForTat_generous_p_0.1,GenerousTitForTat_generous_p_0.1,0.0,2.0
Always0,GenerousTitForTat_generous_p_0.1,GenerousTitForTat_generous_p_0.1,0.0,2.0
Always0,GenerousTitForTat_generous_p_0.25,GenerousTitForTat_generous_p_0.25,0.0,2.0
Always0,GenerousTitForTat_generous_p_0.25,GenerousTitForTat_generous_p_0.25,0.0,2.0
Always0,GenerousTitForTat_generous_p_0.25,GenerousTitForTat_generous_p_0.25,0.0,2.0
Always0,GenerousTitForTat_generous_p_0.25,GenerousTitForTat_generous_p_0.25,0.0,2.0
