agent,mean,std,median
Always3,2.291265060240964,0.9533030171862107,2.79
CastigadorInfernal,2.3599933065595717,0.6830977762793885,2.64
Focal5,2.3014567360350493,0.703335740900868,2.5
Permisive_TFT_patience_5,1.884382530120482,0.3477728620566067,2.01
Permisive_TFT_patience_3,1.873109939759036,0.37220463368413653,2.01
Permisive_TFT_patience_10,1.898207831325301,0.322676885985773,2.01
GrimTrigger,1.9002259036144578,0.9686626134265096,2.0
AdaptivePavlov_deterministic,2.0304819277108432,0.23782183455986022,2.0
AdaptivePavlov_random,1.9953388554216867,0.1851980090970723,2.0
GenerousTitForTat_generous_p_0.25,1.9063704819277107,0.2975611817971273,2.0
ContriteTitForTat,1.9368674698795179,0.2342316861556542,2.0
Deterministic_simpletron_optimist_notTfT,2.0359939759036147,0.7022759254540542,2.0
Deterministic_simpletron_optimist_TfT,1.8144503012048194,0.5238288683200998,2.0
TitForTat,1.794585843373494,0.5474065539919302,2.0
GenerousTitForTat_generous_p_0.75,1.947808734939759,0.1718925274955191,2.0
GenerousTitForTat_generous_p_0.1,1.8765662650602408,0.36718069054509794,2.0
GenerousTitForTat_generous_p_0.5,1.9270933734939757,0.2271257787732075,2.0
Deterministic_simpletron_pesimist_notTfT,1.614465361445783,0.939668134112108,1.99
Detective,1.9273268072289156,0.14880992404184717,1.97
UniformRandom,0.9055873493975904,0.32447597527184247,0.91
Always0,0.005572289156626506,0.0412727843765938,0.0
